,ACN,AMAT,BBY,BLL,CME,CRM,CSCO,DIS,EA,EQR,EXR,HAS,HD,HPQ,ILMN,INTC,IRM,JNPR,KSS,LOW,MSFT,NKE,NVDA,PAYX,PLD,SNPS,STX,TJX,TSCO,VTR,WDC,WELL,WM
2008-01-02 00:00:00-05:00,36.05,17.41,51.22,2.531,134.798,15.118,26.54,31.82,56.76,21.18,13.93,25.01,26.11,49.62,29.75,25.34,35.87,32.1,44.89,22.17,35.23,15.8,32.97,34.98,56.43,25.19,24.5,7.0,8.535,44.43,28.59,45.14,32.26
2008-01-03 00:00:00-05:00,35.49,17.1,49.18,2.499,17.274,15.225,26.75,27.71,56.14,34.84,13.51,24.68,25.82,49.7,29.5,24.68,35.99,32.47,43.14,21.76,35.37,15.65,32.73,35.14,52.92,24.89,24.48,6.96,8.263,43.22,28.37,44.31,32.26
2008-01-04 00:00:00-05:00,34.87,16.75,47.65,2.483,124.856,14.715,26.08,31.14,54.51,33.33,13.26,23.74,24.94,46.86,28.555,22.6,35.0,31.14,40.85,21.05,34.36,15.438,29.98,33.97,51.03,24.73,23.3,6.815,7.973,41.2,25.63,43.08,31.05
2008-01-07 00:00:00-05:00,33.89,16.73,47.09,2.451,122.626,3.608,26.12,31.18,53.89,33.91,13.2,23.71,25.36,45.38,28.405,22.88,35.02,30.7,41.27,21.1,34.65,15.533,26.89,34.72,51.31,24.39,23.1,6.88,8.118,41.76,25.3,43.15,31.57
2008-01-08 00:00:00-05:00,33.95,16.32,45.56,2.404,15.884,3.421,25.44,30.48,53.5,33.0,12.78,23.36,24.7,43.09,28.4,22.27,34.41,30.39,39.74,20.52,33.46,15.425,27.44,33.56,50.57,23.59,22.12,6.638,7.938,41.1,23.43,42.2,31.72
2008-01-09 00:00:00-05:00,33.78,16.64,46.48,10.645,15.946,13.605,26.21,30.12,53.25,33.65,13.0,22.79,24.78,44.41,30.26,22.74,34.24,30.79,40.84,20.68,34.44,15.473,28.81,33.49,50.13,23.22,23.47,6.653,7.895,41.93,24.77,43.42,31.16
2008-01-10 00:00:00-05:00,33.66,16.42,46.55,2.485,122.36,3.468,26.24,30.69,53.85,19.85,13.1,23.3,25.29,45.3,35.025,22.54,34.25,30.69,40.22,20.77,34.32,15.618,28.29,33.88,51.36,23.42,23.71,7.115,8.047,43.05,25.38,44.02,31.64
2008-01-11 00:00:00-05:00,32.8,16.41,44.25,2.497,16.406,3.406,25.84,30.32,52.75,19.56,13.2,22.37,24.68,44.92,35.25,21.97,33.79,26.62,38.35,20.28,33.92,15.185,27.02,33.81,51.48,23.19,22.93,7.063,7.603,42.61,23.98,44.12,31.23
2008-01-14 00:00:00-05:00,33.5,16.83,44.72,2.552,124.666,13.913,26.28,30.36,53.32,33.71,13.35,22.48,25.4,46.15,35.09,23.11,33.56,28.2,38.8,20.83,34.39,15.158,28.87,32.99,51.99,23.7,23.72,7.153,7.818,42.49,25.17,43.91,32.27
2008-01-15 00:00:00-05:00,33.52,16.95,44.06,11.063,119.79,13.58,25.84,26.04,51.47,19.06,12.98,21.76,25.33,45.0,34.99,22.7,32.97,27.56,38.37,20.75,34.0,14.27,26.74,33.08,50.86,23.68,23.34,7.083,7.64,41.53,25.29,43.0,31.81
2008-01-16 00:00:00-05:00,34.1,17.41,45.05,10.973,115.352,13.613,25.12,26.02,49.96,33.36,13.37,23.04,26.33,44.3,34.55,19.86,33.32,27.36,39.54,21.6,33.21,14.42,23.66,33.65,52.22,23.79,22.9,7.155,7.84,41.81,24.69,42.38,31.6
2008-01-17 00:00:00-05:00,33.41,17.52,43.83,2.391,109.08,13.395,24.39,28.79,50.67,33.09,13.49,22.39,26.27,42.96,34.0,19.33,32.36,26.58,39.2,21.82,33.03,13.998,23.3,33.01,50.16,23.41,21.6,7.258,7.558,41.73,23.67,41.75,30.62
2008-01-18 00:00:00-05:00,33.77,18.03,44.21,2.393,112.468,12.99,24.31,28.54,49.42,32.74,13.29,22.84,26.3,43.8,33.925,19.02,32.16,26.52,40.05,22.22,33.06,14.143,24.83,33.23,49.33,23.82,19.72,7.213,7.375,40.1,23.63,40.96,29.98
2008-01-22 00:00:00-05:00,33.3,18.0,45.35,2.393,116.458,13.05,23.5,24.53,49.49,34.02,13.38,24.03,28.25,42.66,32.665,18.66,32.16,25.63,42.81,24.51,31.98,14.345,23.71,32.19,49.42,23.22,20.03,7.425,7.613,41.64,24.12,41.89,29.15
2008-01-23 00:00:00-05:00,33.1,18.07,46.9,2.452,122.0,13.7,24.11,28.54,48.07,21.82,14.25,24.89,29.95,43.07,32.9,19.9476,32.43,24.4,44.05,25.99,32.0,14.433,24.02,33.37,54.26,22.66,19.77,7.938,8.5,44.33,24.71,44.06,30.52
2008-01-24 00:00:00-05:00,33.86,17.96,46.98,2.402,16.87,14.113,25.07,25.5,49.33,37.42,14.09,24.72,29.56,44.93,32.71,20.68,33.29,26.34,43.07,25.44,33.24,14.335,25.87,33.09,52.99,23.02,20.96,7.768,8.22,44.07,26.92,43.6,30.73
2008-01-25 00:00:00-05:00,33.87,17.41,45.3,10.403,16.708,13.278,24.22,25.02,47.33,21.87,14.3,23.96,28.51,43.69,32.15,20.0001,33.37,25.95,41.84,24.74,32.95,13.988,24.96,33.15,52.51,23.04,20.94,7.56,8.263,44.03,26.1,43.51,30.95
2008-01-28 00:00:00-05:00,33.92,17.95,48.06,2.452,124.414,13.368,24.11,25.62,46.19,37.8,15.15,24.55,29.16,43.77,32.58,20.3,33.26,27.2,43.52,25.4,32.72,14.328,24.65,33.7,55.17,23.46,20.83,7.848,8.48,45.0,27.0,44.49,31.34
2008-01-29 00:00:00-05:00,34.49,17.68,48.96,2.503,123.322,3.25,24.06,25.12,45.57,37.76,14.98,24.61,29.69,43.37,32.54,20.53,33.75,26.75,43.49,25.76,32.62,14.33,25.39,34.31,53.17,24.14,20.35,7.943,8.82,43.39,26.93,43.14,31.49
2008-01-30 00:00:00-05:00,34.02,17.88,47.28,2.558,118.956,12.64,24.33,29.38,47.27,21.41,14.64,24.57,29.34,43.48,31.89,20.68,34.15,26.88,43.0,25.31,32.2,14.85,25.16,32.95,49.33,24.05,20.4,7.813,8.415,43.11,26.7,42.41,31.57
2008-01-31 00:00:00-05:00,34.58,17.89,48.91,11.473,123.46,13.03,24.42,26.03,47.37,37.33,15.09,25.95,30.62,43.71,31.79,21.15,34.31,27.11,45.51,26.42,32.54,15.333,24.64,32.69,50.57,22.06,20.29,7.9,9.648,44.12,26.41,42.82,32.41
2008-02-01 00:00:00-05:00,35.04,18.89,48.59,2.641,16.204,3.225,24.93,30.63,48.62,22.53,15.56,26.15,30.4,44.39,33.8,21.78,35.25,27.27,45.85,25.53,30.45,15.613,26.9,33.87,52.4,22.77,20.92,8.025,9.948,44.86,27.93,43.62,33.14
2008-02-04 00:00:00-05:00,34.14,18.49,48.53,2.569,16.442,12.968,23.81,30.89,46.51,22.15,15.29,25.71,29.35,44.09,32.445,21.19,35.06,26.41,44.85,24.8,30.19,15.178,26.02,33.55,52.0,23.18,20.78,7.86,9.77,44.52,28.35,43.37,33.36
2008-02-05 00:00:00-05:00,33.5,18.11,46.21,2.507,15.64,13.165,23.27,30.17,45.41,21.23,14.71,25.6,28.0,42.94,35.75,20.13,34.47,25.5,43.42,24.13,29.07,14.963,24.39,32.64,49.36,22.77,21.25,7.773,9.473,43.12,27.98,42.06,32.25
2008-02-06 00:00:00-05:00,33.74,17.51,46.36,2.518,12.89,11.973,23.0751,31.5,44.34,21.8,14.27,24.76,27.64,42.17,34.385,19.93,34.55,25.11,42.9,23.66,28.52,14.995,24.3,31.99,49.57,22.38,21.12,7.713,9.458,41.49,28.25,40.54,32.52
2008-02-07 00:00:00-05:00,33.23,17.66,47.3,2.527,14.026,12.705,23.383,27.67,44.78,22.43,14.35,25.63,28.43,40.56,33.3,20.06,34.16,24.72,45.77,24.0,28.12,15.2,24.54,32.15,51.1,22.09,21.54,7.813,9.888,42.56,27.2,41.5,32.28
