,AAL,ABBV,ADM,AIG,ALB,AOS,BA,BSX,CAT,CF,COTY,CVX,CXO,D,DHR,DUK,DVN,EOG,FB,FCX,GD,GE,GS,JNJ,LLY,LUV,MCHP,MNST,MOS,MRO,MU,NOV,NRG,PRGO,PXD,QRVO,SWKS,TDG,TSN,UAL,VLO,WFC,XOM
2015-01-02 00:00:00-05:00,52.3,58.23,52.05,56.1,60.33,28.0,129.95,13.23,81.77,9.862,20.41,112.59,101.006,77.45,85.72,84.02,60.95,92.22,78.45,23.55,138.43,25.06,194.31,104.49,70.04,42.68,44.86,36.05,45.77,28.6,34.755,65.49,27.49,166.61,149.9,70.06,73.29,197.69,39.95,66.38,50.35,54.69,92.81
2015-01-05 00:00:00-05:00,52.27,64.7,50.24,55.0,58.29,27.51,129.05,13.82,87.04,55.402,20.37,108.16,96.13,76.56,84.86,82.87,58.72,86.73,77.19,22.145,135.64,24.6,188.33,103.85,69.43,41.655,43.88,36.48,44.95,27.29,33.78,62.5,26.45,164.77,139.96,67.62,72.12,196.45,39.04,66.14,48.29,53.225,90.34
2015-01-06 00:00:00-05:00,51.45,56.85,49.21,54.19,57.18,27.27,127.51,13.69,76.96,56.504,20.16,108.02,94.18,76.16,84.28,84.16,57.49,84.2,76.15,22.53,135.74,24.0599,184.59,103.25,69.73,40.47,43.03,37.407,45.55,26.84,32.88,61.72,26.09,164.6,139.46,64.66,69.86,196.95,39.27,64.6,47.68,52.06,89.78
2015-01-07 00:00:00-05:00,51.42,59.15,45.14,54.47,56.94,27.5,129.46,14.03,78.15,58.132,20.29,107.94,92.01,76.44,84.79,84.5,57.77,81.51,76.12,22.84,135.14,24.08,187.3,105.56,69.29,40.8,43.27,38.648,45.8,27.18,32.1099,61.78,26.245,167.33,137.92,66.65,70.97,199.39,39.73,65.53,47.31,52.39,90.72
2015-01-08 00:00:00-05:00,53.66,67.63,49.23,54.34,58.73,28.205,131.81,14.58,88.71,10.46,20.465,110.303,96.41,77.38,86.14,84.8,59.83,86.9,78.19,23.375,138.39,24.369,190.17,106.38,70.93,41.84,44.64,39.24,46.335,27.73,33.66,63.61,26.8,171.09,141.46,67.69,74.2,202.97,41.185,66.5399,49.98,53.55,92.2
2015-01-09 00:00:00-05:00,52.038,65.78,48.82,53.33,59.02,27.745,131.56,14.64,87.7,10.546,19.86,108.25,99.51,76.52,85.56,84.96,60.43,85.19,77.75,23.45,138.99,24.04,187.39,104.96,69.94,40.8,44.52,39.013,45.95,27.66,33.526,61.89,27.16,169.77,142.57,67.09,74.08,201.465,40.35,65.35,48.66,52.69,92.11
2015-01-12 00:00:00-05:00,48.1,58.12,43.55,52.37,59.7,27.855,130.88,14.58,77.33,59.56,19.33,91.55,95.04,76.52,84.46,85.05,59.15,82.32,76.71,23.06,137.94,23.98,185.15,104.6,69.39,40.2501,44.04,37.31,46.365,26.23,31.65,58.59,26.69,169.32,135.01,65.49,72.32,201.12,39.095,65.87,47.385,52.056,90.41
2015-01-13 00:00:00-05:00,50.39,63.4,48.29,51.88,60.99,27.745,131.15,14.51,86.3599,59.844,17.734,104.24,97.01,76.47,84.34,85.46,58.89,85.07,76.44,21.06,137.76,23.85,184.9,104.74,69.37,40.47,43.98,37.687,45.45,25.9,30.84,57.95,26.87,163.79,137.92,65.07,72.82,204.02,38.85,66.41,45.97,51.82,90.0
2015-01-14 00:00:00-05:00,49.41,63.64,47.46,51.37,59.5,27.68,130.42,14.5,86.08,57.796,18.89,103.9,100.65,76.44,83.03,85.68,58.5,85.63,76.27,18.74,137.36,23.775,180.27,103.98,69.75,39.44,45.01,39.243,45.52,25.97,30.05,57.79,26.98,162.59,142.25,64.54,71.6,204.02,39.85,64.04,44.88,51.22,89.73
2015-01-15 00:00:00-05:00,47.93,56.0,42.64,50.4,58.08,27.12,130.16,14.31,84.33,10.246,18.93,88.77,100.53,77.16,82.03,86.75,57.83,86.53,74.05,18.32,137.72,23.59,178.7,102.54,69.76,38.91,44.45,38.757,45.43,25.46,29.3,56.77,26.55,158.46,141.32,64.36,71.32,203.76,40.08,63.84,44.07,50.74,88.97
